"",gene_symbol,GSM2440320,GSM2440321,GSM2440322,GSM2440323,GSM2440324,GSM2440325,GSM2440326,GSM2440327,GSM2440328,GSM2440329,GSM2440330,GSM2440331
ENSG00000239900,ADSL,1192.4263,1236.5862,799.2609,799.3593,1322.4763,1542.3377,789.2416,1663.7668,5532.8837,1108.2083,222.4911,302.6751
ENSG00000239921,LINC01471,0,0,0,3.1399,0,0,0,0,0,0,0,0
ENSG00000239927,RPP21,4.5117,0,0.3661,0.9068,1616.8491,856.8509,0,1500.5155,2316.5325,1328.7782,821.6852,922.8795
ENSG00000239930,LOC101930094,5.3144,3.3884,6.3619,1.5619,9.6169,0.9557,1.1566,3.0195,27.6325,3.4841,0,2.0649
ENSG00000239946,ZBTB20-AS3,0,1.9726,0,0.9808,0,0,0,0,0.9914,1.0245,1.0156,0
ENSG00000239961,LILRA4,1.9122,0,3.4058,1.0037,0,0.7499,1.0149,0,0,0,0,0
ENSG00000239974,EGFL8,300.581,235.4815,306.2958,442.6477,127.6668,57.0628,423.3025,282.5752,123.5614,210.1196,107.3472,74.9508
ENSG00000239998,LILRA2,27.9063,9.6511,10.691,31.4002,20.2533,13.597,16.7202,20.8807,36.1699,11.9659,74.2587,15.9291
ENSG00000240008,LY6G6F,4.3232,0.0421,11.8125,29.8838,20.4644,0,30.6185,4.194,9.7729,2.759,3.6011,0.6568
ENSG00000240012,SLC9A9-AS1,0,0,0,0,0,0,0,0,0,0,1.0108,0
ENSG00000240021,TEX35,9.2816,3.2487,12.4869,10.8336,14.4166,6.3521,7.5772,16.4835,15.4096,16.1991,21.8688,9.6467
ENSG00000240024,LINC00888,5.0151,24.052,5.9606,15.1116,30.4011,54.0851,0.9996,5.9894,22.2394,9.9569,8.6197,2.3112
ENSG00000240038,AMY2B,255.383,253.25,159.9384,87.1645,220.8715,369.2919,127.3155,137.6576,121.0172,139.916,11.8162,22.7918
ENSG00000240045,LOC100507537,8.7149,3.4878,18.7286,38.3356,3.5362,1.0031,8.9658,3.7054,5.9061,10.3127,147.0306,21.8276
ENSG00000240050,DSE,1.946,2.9681,1.0424,0.9853,5.8802,3.8663,3.0267,0,0.9934,3.0567,1.0111,2.0437
ENSG00000240053,LY6G5B,115.6314,73.7846,24.9567,9.3043,66.6644,15.241,83.7944,5e-04,30.9741,38.2449,0,3.1516
ENSG00000240065,PSMB9,425.2477,638.4965,45.0305,51.3674,631.1156,148.6652,3.204,518.8431,738.6804,1005.116,177.4715,342.6877
ENSG00000240108,NCOR1P1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000240118,PSMB9,431.9328,697.0743,40.8396,51.6703,642.0391,151.7267,2.2967,514.1517,700.8834,1005.1112,165.9732,334.7134
ENSG00000240130,OR5V1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000240137,ERICH6-AS1,2.9521,2.9807,3.0746,10.9327,24.6808,33.9141,9.085,12.0822,10.0081,17.4472,6.0604,8.2636
ENSG00000240175,MAGI1-AS1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000240184,PCDHGC3,1303.2085,445.0398,472.5951,948.4535,3792.1191,2774.6181,799.7881,789.3377,351.1394,288.103,120.2721,79.9478
ENSG00000240194,CYMP,0.9609,0,0,0,1.0008,0,0,0,0,0,0,0
ENSG00000240198,ARHGEF3-AS1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000240204,SMKR1,10.9024,4.9389,54.1154,101.1093,50.2976,1.9908,33.1902,23.0471,212.2782,12.1983,10.0683,1.0381
